"No.","Time","Source","Destination","Protocol","Length","Info"
"1508","10.937666","2606:4700:10::6816:1bb5","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","858","[TCP Previous segment not captured] , Ignored Unknown Record"
"1524","10.963745","64:ff9b::22a0:a42f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","2754","[TCP Previous segment not captured] , Ignored Unknown Record"
"1548","11.015376","64:ff9b::22a0:a42f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Spurious Retransmission] 443  >  13260 [ACK] Seq=1 Ack=1735 Win=268288 Len=1340"
"1576","11.074073","64:ff9b::12cc:916b","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1601","11.256701","2606:4700:10::6816:1bb5","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","586","[TCP Spurious Retransmission] 443  >  13259 [PSH, ACK] Seq=3465 Ack=1794 Win=73728 Len=512"
"1604","11.267752","2404:6800:4009:829::2002","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1058","[TCP Spurious Retransmission] 443  >  13255 [PSH, ACK] Seq=5612 Ack=1908 Win=267776 Len=984"
"1686","11.685503","2606:4700:4400::ac40:9bd1","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","818","[TCP Previous segment not captured] , Ignored Unknown Record"
"1705","11.863920","64:ff9b::3650:5e8b","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1718","11.991789","2606:4700:4400::ac40:9bd1","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","602","[TCP Spurious Retransmission] 443  >  13264 [PSH, ACK] Seq=3425 Ack=1789 Win=73728 Len=528"
"1724","12.064676","54.211.254.10","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13257 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=256"
"1735","12.114680","64:ff9b::3650:5e8b","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"1845","12.709716","2404:6800:4009:804::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"1982","14.077934","54.211.254.10","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13257 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=256"
"1991","14.682181","108.174.10.31","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13247 [SYN, ACK] Seq=0 Ack=1 Win=7300 Len=0 MSS=1340 SACK_PERM WS=1024"
"2035","15.747492","2620:109:c002::6cae:a1f","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","290","[TCP Retransmission] 443  >  13244 [PSH, ACK] Seq=2681 Ack=1759 Win=7168 Len=216"
"2053","16.113594","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","733","[TCP Previous segment not captured] , Ignored Unknown Record"
"2119","16.364744","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"2123","16.365074","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","126","[TCP Previous segment not captured] , Ignored Unknown Record"
"2139","16.488194","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Spurious Retransmission] 443  >  13271 [ACK] Seq=6524 Ack=4839 Win=79680 Len=1340"
"2149","16.588598","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13271 [PSH, ACK] Seq=36056 Ack=4839 Win=79680 Len=1340 [TCP PDU reassembled in 2150]"
"2303","18.149036","54.211.254.10","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13257 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=256"
"2463","19.484622","2404:6800:4009:811::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
